14:47:49.   0,23/ 7/2025,5248.3306,-244.2077,387.700012
14:50:49.   0,23/ 7/2025,5250.1929,-246.1932,131.899994
14:53:49.   0,23/ 7/2025,5248.4551,-244.6447,367.600006
14:56:49.   0,23/ 7/2025,5250.4834,-246.1773,201.399994
14:59:49.   0,23/ 7/2025,5248.7573,-246.0251,260.600006
15: 2:49.   0,23/ 7/2025,5250.8740,-245.3124,310.000000
15: 5:49.   0,23/ 7/2025,5249.2095,-246.1810,199.000000
15: 8:49.   0,23/ 7/2025,5250.1523,-246.1141,80.500000
15:11:49.   0,23/ 7/2025,5250.1167,-245.9440,76.400002
15:14:49.   0,23/ 7/2025,5250.1162,-245.9436,76.599998
15:17:49.   0,23/ 7/2025,5250.1152,-245.9436,77.000000
15:20:49.   0,23/ 7/2025,5250.1094,-245.9310,82.000000
15:23:49.   0,23/ 7/2025,5250.1221,-245.9045,89.699997
15:26:49.   0,23/ 7/2025,5250.1265,-245.9269,90.400002
15:29:49.   0,23/ 7/2025,5250.1255,-245.9297,91.800003
15:32:49.   0,23/ 7/2025,5250.1235,-245.9156,92.199997
15:35:49.   0,23/ 7/2025,5250.1221,-245.9095,92.500000
15:38:49.   0,23/ 7/2025,5250.1138,-245.9254,95.599998
15:41:49.   0,23/ 7/2025,5250.1084,-245.9271,96.800003
15:44:49.   0,23/ 7/2025,5250.0996,-245.9295,97.500000
15:47:49.   0,23/ 7/2025,5250.1069,-245.9317,96.199997
15:50:49.   0,23/ 7/2025,5250.1113,-245.9313,96.699997
15:53:49.   0,23/ 7/2025,5250.1123,-245.9242,89.599998
15:56:49.   0,23/ 7/2025,5250.1123,-245.9264,89.699997
15:59:49.   0,23/ 7/2025,5250.1235,-245.9192,89.199997
16: 2:49.   0,23/ 7/2025,5250.0996,-245.9642,86.000000
16: 5:49.   0,23/ 7/2025,5250.0322,-246.0569,81.400002
 0: 0: 0.   0, 0/ 0/20 0, -0.0000, -0.0000,0.000000
 7:59:47.   0, 0/ 0/20 0,5250.1260,-245.9350,98.000000
 7:59:47.   0,24/ 7/2025,5250.1260,-245.9350,98.000000
 8: 2:47.   0,24/ 7/2025,5250.1255,-245.9342,98.099998
 8: 5:47.   0,24/ 7/2025,5250.1245,-245.9341,98.300003
 8: 8:47.   0,24/ 7/2025,5250.1240,-245.9350,98.500000
 8:11:47.   0,24/ 7/2025,5250.1240,-245.9356,98.400002
 8:14:47.   0,24/ 7/2025,5250.1240,-245.9363,98.300003
 8:17:47.   0,24/ 7/2025,5250.0620,-246.0533,93.099998
 8:20:47.   0,24/ 7/2025,5250.0322,-246.1754,87.000000
 8:23:47.   0,24/ 7/2025,5249.7817,-246.2058,91.699997
 8:26:47.   0,24/ 7/2025,5249.9141,-246.3466,477.500000
 8:29:47.   0,24/ 7/2025,5250.3862,-253.3394,459.500000
 8:32:47.   0,24/ 7/2025,5250.9668,-300.0504,453.799988
 8:35:47.   0,24/ 7/2025,5252.5142,-301.7607,452.899994
 8:38:47.   0,24/ 7/2025,5255.1421,-256.3968,465.299988
 8:41:47.   0,24/ 7/2025,5257.7842,-251.0035,435.399994
 8:44:47.   0,24/ 7/2025,5300.8135,-246.4739,415.500000
 8:47:47.   0,24/ 7/2025,5257.4561,-245.6193,458.700012
 8:50:47.   0,24/ 7/2025,5252.1958,-245.7633,456.100006
 8:53:47.   0,24/ 7/2025,5250.3159,-245.4524,364.799988
 8:56:47.   0,24/ 7/2025,5249.8569,-246.2105,94.300003
 8:59:47.   0,24/ 7/2025,5250.0581,-246.0373,97.300003
 9: 2:47.   0,24/ 7/2025,5250.0581,-246.0383,96.800003
 9: 5:47.   0,24/ 7/2025,5250.0571,-246.0392,96.900002
 9: 8:47.   0,24/ 7/2025,5250.0566,-246.0395,96.800003
 9:11:47.   0,24/ 7/2025,5250.0566,-246.0397,96.800003
 9:14:47.   0,24/ 7/2025,5250.0562,-246.0398,96.800003
 9:17:47.   0,24/ 7/2025,5250.0562,-246.0398,96.800003
 9:20:47.   0,24/ 7/2025,5250.0562,-246.0400,96.900002
 9:23:47.   0,24/ 7/2025,5250.0562,-246.0401,96.900002
 9:26:47.   0,24/ 7/2025,5250.0562,-246.0401,96.900002
 9:29:47.   0,24/ 7/2025,5250.0562,-246.0399,96.800003
 9:32:47.   0,24/ 7/2025,5250.0562,-246.0397,96.900002
 9:35:47.   0,24/ 7/2025,5250.0581,-246.0761,94.800003
 9:38:47.   0,24/ 7/2025,5250.0303,-246.1061,93.199997
 9:41:47.   0,24/ 7/2025,5250.0308,-246.1063,93.099998
 9:44:47.   0,24/ 7/2025,5250.0303,-246.1063,93.000000
 9:47:47.   0,24/ 7/2025,5250.0298,-246.1064,93.000000
 9:50:47.   0,24/ 7/2025,5250.0298,-246.1066,93.000000
 9:53:47.   0,24/ 7/2025,5250.0293,-246.1062,92.900002
 9:56:47.   0,24/ 7/2025,5250.0293,-246.1052,92.800003
 9:59:47.   0,24/ 7/2025,5250.0293,-246.1050,92.900002
10: 2:47.   0,24/ 7/2025,5250.0298,-246.1049,92.900002
10: 5:47.   0,24/ 7/2025,5250.0293,-246.1044,92.900002
10: 8:47.   0,24/ 7/2025,5250.0293,-246.1046,92.900002
10:11:47.   0,24/ 7/2025,5250.0293,-246.1046,92.900002
10:14:47.   0,24/ 7/2025,5250.0293,-246.1042,92.699997
10:17:47.   0,24/ 7/2025,5250.0293,-246.1039,92.699997
10:20:47.   0,24/ 7/2025,5250.0293,-246.1036,92.699997
10:23:47.   0,24/ 7/2025,5250.0293,-246.1036,92.599998
10:26:47.   0,24/ 7/2025,5250.0293,-246.1034,92.599998
10:29:47.   0,24/ 7/2025,5250.0293,-246.1032,92.599998
10:32:47.   0,24/ 7/2025,5250.0293,-246.1030,92.599998
10:35:47.   0,24/ 7/2025,5250.0298,-246.1029,92.599998
10:38:47.   0,24/ 7/2025,5250.0298,-246.1028,92.599998
10:41:47.   0,24/ 7/2025,5250.0298,-246.1030,92.500000
10:44:47.   0,24/ 7/2025,5250.0298,-246.1031,92.599998
10:47:47.   0,24/ 7/2025,5250.0298,-246.1029,92.900002
10:50:47.   0,24/ 7/2025,5250.0303,-246.1030,93.099998
10:53:47.   0,24/ 7/2025,5250.0303,-246.1032,93.300003
10:56:47.   0,24/ 7/2025,5250.0298,-246.1037,93.599998
10:59:47.   0,24/ 7/2025,5250.0298,-246.1037,93.800003
11: 2:47.   0,24/ 7/2025,5250.0298,-246.1033,94.000000
